CaseID,Len
1000,1
1000,2
1000,3
1000,4
1001,1
1001,10
1001,11
1001,12
1001,13
1001,14
1001,15
1001,16
1001,17
1001,18
1001,19
1001,2
1001,20
1001,21
1001,22
1001,23
1001,24
1001,25
1001,26
1001,27
1001,28
1001,29
1001,3
1001,30
1001,31
1001,4
1001,5
1001,6
1001,7
1001,8
1001,9
1002,1
1002,10
1002,11
1002,12
1002,13
1002,14
1002,15
1002,16
1002,17
1002,18
1002,19
1002,2
1002,20
1002,21
1002,22
1002,23
1002,24
1002,25
1002,26
1002,27
1002,28
1002,29
1002,3
1002,30
1002,31
1002,4
1002,5
1002,6
1002,7
1002,8
1002,9
1003,1
1003,10
1003,11
1003,12
1003,13
1003,14
1003,15
1003,16
1003,17
1003,18
1003,19
1003,2
1003,20
1003,21
1003,22
1003,23
1003,24
1003,25
1003,3
1003,4
1003,5
1003,6
1003,7
1003,8
1003,9
1004,1
1004,2
1005,1
1005,10
1005,11
1005,12
1005,13
1005,14
1005,15
1005,16
1005,17
1005,18
1005,19
1005,2
1005,20
1005,21
1005,3
1005,4
1005,5
1005,6
1005,7
1005,8
1005,9
1006,1
1006,10
1006,11
1006,12
1006,13
1006,14
1006,15
1006,16
1006,17
1006,18
1006,19
1006,2
1006,20
1006,21
1006,22
1006,3
1006,4
1006,5
1006,6
1006,7
1006,8
1006,9
1007,1
1007,10
1007,11
1007,12
1007,13
1007,2
1007,3
1007,4
1007,5
1007,6
1007,7
1007,8
1007,9
1008,1
1008,10
1008,11
1008,12
1008,13
1008,14
1008,15
1008,16
1008,17
1008,18
1008,19
1008,2
1008,20
1008,21
1008,22
1008,23
1008,24
1008,25
1008,26
1008,27
1008,28
1008,29
1008,3
1008,30
1008,31
1008,4
1008,5
1008,6
1008,7
1008,8
1008,9
1009,1
1009,10
1009,11
1009,12
1009,13
1009,14
1009,15
1009,16
1009,17
1009,18
1009,19
1009,2
1009,20
1009,21
1009,3
1009,4
1009,5
1009,6
1009,7
1009,8
1009,9
1010,1
1010,10
1010,11
1010,12
1010,13
1010,14
1010,15
1010,16
1010,17
1010,18
1010,19
1010,2
1010,20
1010,21
1010,22
1010,23
1010,24
1010,25
1010,26
1010,27
1010,28
1010,29
1010,3
1010,30
1010,31
1010,4
1010,5
1010,6
1010,7
1010,8
1010,9
1011,1
1011,10
1011,11
1011,12
1011,13
1011,14
1011,15
1011,16
1011,17
1011,18
1011,2
1011,3
1011,4
1011,5
1011,6
1011,7
1011,8
1011,9
1012,1
1012,2
1012,3
1012,4
1012,5
1013,1
1013,10
1013,11
1013,12
1013,13
1013,14
1013,15
1013,16
1013,17
1013,18
1013,19
1013,2
1013,20
1013,21
1013,22
1013,23
1013,24
1013,25
1013,26
1013,27
1013,28
1013,29
